varSource,DAM_NAME,varMaterial,sintYearCommissioned,decCrestElevation,decCrestLength,decHeight,decCapacity,LATITUDE_DD,LONGITUDE_DD,,,OWNERSHIP,Maj_Upgrad,Structure,Start Construction,Turbine Generations ,Spillways,Intake Gates,Powerhouse length (m),
ODI ,Zadi Lake Dam,,,,,,,49.6953245,-82.63565,,,Private,,,,,,,,
ODI ,Black Duck Dam 1,,,,,,,44.5621,-78.2508,,,Federal,,,,,,,,
ODI ,Horseshoe Dam,,,,,,,44.9676707,-78.6831611,,,Private,,,,,,,,
ODI ,Baxter Lake N Dam,,,,,,,44.8860306,-79.7643439,,,Private,,,,,,,,
ODI ,,,,,,,,45.202021,-75.818765,,,Private,,,,,,,,
ODI ,Pinery Road:30340,,,,,,,44.9936013,-76.0143817,,,Private,,,,,,,,
ODI ,,,,,,,,45.4251242,-76.2541192,,,Private,,,,,,,,
ODI ,Number Ten Creek Dam,,,,,,,44.3498633,-77.3874807,,,Private,,,,,,,,
ODI ,Unconventional Moose,,,,,,,44.5501845,-77.3316921,,,Private,,,,,,,,
ODI ,Varty Lake Dam,,,,,,,44.4133233,-76.8070104,,,Private,,,,,,,,
ODI ,,,,,,,,46.5092512,-84.3619533,,,Private,,,,,,,,
ODI ,Big Trout Lake Dam,,,,,,,46.8359137,-82.3615698,,,Provincial,,,,,,,,
ODI ,Sheguiandah Bay Spilldam,,,,,,,45.8944832,-81.921741,,,Private,,,,,,,,
ODI ,Crow Lake Dam (Kagaki),,,,,,,49.3080988,-93.8896434,,,Provincial,,,,,,,,
ODI ,Keewatin Portage Bay Dam,,,,,,,49.7617496,-94.5618823,,,Provincial,,,,,,,,
ODI ,Clearwater West Lake Dam,,,,,,,49.043464,-91.947144,,,Provincial,,,,,,,,
ODI ,CALM LAKE,,,,,,,48.793426,-92.15362,,,Private,,,,,,,,
ODI ,Eagle Lake Dam,,,,,,,45.1289635,-78.5080072,,,Federal,,,,,,,,
ODI ,BIMBROOK DAM,,,,,,,43.1017695,-79.8271023,,,Unknown,,,,,,,,
ODI ,Pine River Tributary:7937,,,,,,,44.2312358,-80.1542083,,,Private,,,,,,,,
ODI ,Sheldon Creek Tributary:8068,,,,,,,44.09404,-80.0156,,,Private,,,,,,,,
ODI ,,,,,,,,44.0894712,-79.4630522,,,Conservation Authority,,,,,,,,
ODI ,Black River:42114,,,,,,,44.069879,-79.387415,,,Private,,,,,,,,
ODI ,Peterborough Pumphouse & Dam,,,,,,,44.3370068,-78.31295,,,Municipal,,,,,,,,
ODI ,,,,,,,,44.4955145,-77.1256328,,,Private,,,,,,,,
ODI ,,,,,,,,44.3823175,-77.1738425,,,Private,,,,,,,,
ODI ,,,,,,,,44.2730237,-76.7186502,,,Municipal,,,,,,,,
ODI ,,,,,,,,44.4309317,-76.3831279,,,Private,,,,,,,,
ODI ,GSCA037,,,,,,,44.4688476,-80.8015843,,,Private,,,,,,,,
ODI ,GSCA046,,,,,,,44.382874,-80.533624,,,Private,,,,,,,,
ODI ,Layton River,,,,,,,44.227128,-78.988562,,,Private,,,,,,,,
ODI ,Lindsay Dam (Old Mill),,,,,,,44.3568,-78.734203,,,Private,,,,,,,,
ODI ,,,,,,,,43.2781,-80.0077,,,Conservation Authority,,,,,,,,
ODI ,Middle Sixteen Mile Creek:41076,,,,,,,43.5577403,-79.9497063,,,Private,,,,,,,,
ODI ,Blind River Dam,,,,,,,46.1852573,-82.9560229,,,Provincial,,,,,,,,
ODI ,Labitiche (Gull) Lake Dam,,,,,,,46.971517,-82.2351646,,,Provincial,,,,,,,,
ODI ,Manitou Lake Dam,,,,,,,45.7034202,-81.9974069,,,Provincial,,,,,,,,
ODI ,White Lake Dam (Wawa),,,,,,,48.6561689,-85.7384367,,,Provincial,,,,,,,,
ODI ,Borden Lake Dam,,,,,,,47.873657,-83.2803318,,,Provincial,,,,,,,,
